[['new1-14_10.jpg.bmp', '10', 0.5019]]
[['new1-15_10.jpg.bmp', '10', 0.9017]]
[['new1-21_10.jpg.bmp', '10', 0.5642]]
[['new1-28_10.jpg.bmp', '10', 0.6383]]
[['new1-30_10.jpg.bmp', '10', 0.4894]]
[['new1-31_10.jpg.bmp', '10', 0.62]]
[['new1-33_10.jpg.bmp', '1', 0.5442]]
[['new1-35_10.jpg.bmp', '1', 0.9994]]
[['new1-44_10.jpg.bmp', '10', 0.7433]]
[['new1-51_10.jpg.bmp', '1', 0.6821]]
[['new1-56_10.jpg.bmp', '1', 0.5694]]
[['new1-59_10.jpg.bmp', '10', 0.9862]]
[['new1-62_10.jpg.bmp', '10', 0.8087]]
[['new1-66_10.jpg.bmp', '10', 0.8951]]
[['new1-68_10.jpg.bmp', '10', 0.8563]]
[['new1-74_10.jpg.bmp', '10', 0.823]]
[['new1-9_10.jpg.bmp', '10', 0.7116]]
[['new10-10_1.jpg.bmp', '1', 0.9999]]
[['new10-37_1.jpg.bmp', '1', 0.9896]]
[['new10-40_1.jpg.bmp', '1', 0.9532]]
[['new10-46_1.jpg.bmp', '1', 0.9998]]
[['new10-48_1.jpg.bmp', '1', 0.9993]]
[['new10-50_1.jpg.bmp', '1', 0.9655]]
[['new10-52_1.jpg.bmp', '1', 0.97]]
[['new10-54_1.jpg.bmp', '1', 0.9591]]
[['new10-6_1.jpg.bmp', '1', 0.8748]]
[['new10-74_1.jpg.bmp', '1', 0.9985]]
[['new11-11_1.jpg.bmp', '1', 0.9999]]
[['new11-12_1.jpg.bmp', '1', 0.9999]]
[['new11-15_1.jpg.bmp', '1', 0.9159]]
[['new11-19_1.jpg.bmp', '1', 0.9521]]
[['new11-22_1.jpg.bmp', '1', 0.9996]]
[['new11-27_1.jpg.bmp', '1', 0.9994]]
[['new11-2_1.jpg.bmp', '1', 0.9997]]
[['new11-30_1.jpg.bmp', '1', 0.9303]]
[['new11-32_1.jpg.bmp', '1', 0.9999]]
[['new11-36_1.jpg.bmp', '1', 0.7201]]
