[['new1-10_10.jpg.bmp', '10', 0.9728]]
[['new1-29_10.jpg.bmp', '10', 0.9758]]
[['new1-35_10.jpg.bmp', '10', 0.9446]]
[['new1-38_10.jpg.bmp', '10', 0.9591]]
[['new1-42_10.jpg.bmp', '10', 0.9373]]
[['new1-48_10.jpg.bmp', '10', 0.748]]
[['new1-52_10.jpg.bmp', '10', 0.9933]]
[['new1-58_10.jpg.bmp', '10', 0.9613]]
[['new1-69_10.jpg.bmp', '10', 0.9852]]
[['new1-74_10.jpg.bmp', '10', 0.9785]]
[['new1-8_10.jpg.bmp', '10', 0.5074]]
[['new1-9_10.jpg.bmp', '10', 0.7514]]
[['new10-11_1.jpg.bmp', '1', 0.9999]]
[['new10-15_1.jpg.bmp', '1', 0.9778]]
[['new10-24_1.jpg.bmp', '1', 0.9995]]
[['new10-27_1.jpg.bmp', '1', 0.9994]]
[['new10-4_1.jpg.bmp', '1', 1.0]]
[['new10-50_1.jpg.bmp', '1', 0.9999]]
[['new10-56_1.jpg.bmp', '1', 0.9164]]
[['new10-72_1.jpg.bmp', '1', 0.9875]]
[['new11-11_1.jpg.bmp', '1', 0.9999]]
[['new11-16_1.jpg.bmp', '1', 0.9986]]
[['new11-21_1.jpg.bmp', '1', 1.0]]
[['new11-23_1.jpg.bmp', '1', 0.9999]]
[['new11-25_1.jpg.bmp', '1', 0.9999]]
[['new11-28_1.jpg.bmp', '1', 1.0]]
[['new11-31_1.jpg.bmp', '1', 0.9999]]
[['new11-38_1.jpg.bmp', '1', 0.9999]]
[['new11-45_1.jpg.bmp', '1', 0.9981]]
[['new11-46_1.jpg.bmp', '1', 0.9895]]
[['new11-47_1.jpg.bmp', '1', 0.9995]]
[['new11-51_1.jpg.bmp', '1', 0.9999]]
[['new11-52_1.jpg.bmp', '1', 0.9998]]
[['new11-60_1.jpg.bmp', '1', 1.0]]
[['new11-75_1.jpg.bmp', '1', 1.0]]
[['new11-7_1.jpg.bmp', '1', 1.0]]
[['new12-11_1.jpg.bmp', '1', 0.9998]]
[['new12-12_1.jpg.bmp', '1', 0.9997]]
[['new12-14_1.jpg.bmp', '1', 0.9998]]
[['new12-17_1.jpg.bmp', '1', 0.9995]]
[['new12-20_1.jpg.bmp', '1', 0.9997]]
[['new12-32_1.jpg.bmp', '1', 0.9998]]
[['new12-43_1.jpg.bmp', '1', 0.9998]]
[['new12-45_1.jpg.bmp', '1', 1.0]]
[['new12-52_1.jpg.bmp', '1', 0.9999]]
[['new12-5_1.jpg.bmp', '1', 0.9987]]
[['new12-61_1.jpg.bmp', '1', 1.0]]
[['new12-62_1.jpg.bmp', '1', 1.0]]
[['new12-63_1.jpg.bmp', '1', 0.9995]]
[['new12-69_1.jpg.bmp', '1', 0.9988]]
[['new12-73_1.jpg.bmp', '1', 0.9999]]
[['new12-77_1.jpg.bmp', '1', 1.0]]
[['new13-10_1.jpg.bmp', '1', 0.9999]]
[['new13-14_1.jpg.bmp', '1', 0.9987]]
[['new13-17_1.jpg.bmp', '1', 0.9998]]
[['new13-26_1.jpg.bmp', '1', 0.9999]]
[['new13-30_1.jpg.bmp', '1', 0.9998]]
[['new13-34_1.jpg.bmp', '1', 0.9999]]
[['new13-35_1.jpg.bmp', '1', 1.0]]
[['new13-40_1.jpg.bmp', '1', 0.9999]]
[['new13-41_1.jpg.bmp', '1', 0.9995]]
[['new13-43_1.jpg.bmp', '1', 0.9999]]
[['new13-48_1.jpg.bmp', '1', 0.9999]]
[['new13-49_1.jpg.bmp', '1', 0.9999]]
[['new13-58_1.jpg.bmp', '1', 0.9982]]
[['new13-59_1.jpg.bmp', '1', 0.9999]]
[['new13-62_1.jpg.bmp', '1', 0.9997]]
[['new13-68_1.jpg.bmp', '1', 0.9984]]
[['new13-70_1.jpg.bmp', '1', 0.9999]]
[['new13-76_1.jpg.bmp', '1', 0.9996]]
[['new13-8_1.jpg.bmp', '1', 0.9995]]
[['new14-15_2.jpg.bmp', '2', 0.9852]]
[['new14-17_2.jpg.bmp', '2', 0.9922]]
[['new14-25_2.jpg.bmp', '2', 0.9939]]
[['new14-26_2.jpg.bmp', '2', 0.9877]]
[['new14-32_2.jpg.bmp', '2', 0.9966]]
[['new14-33_2.jpg.bmp', '2', 0.9971]]
[['new14-38_2.jpg.bmp', '2', 0.9916]]
[['new14-41_2.jpg.bmp', '2', 0.9599]]
[['new14-48_2.jpg.bmp', '2', 0.9844]]
[['new14-56_2.jpg.bmp', '2', 0.9904]]
[['new14-76_2.jpg.bmp', '2', 0.992]]
[['new19-10_4.jpg.bmp', '4', 0.9996]]
[['new19-15_4.jpg.bmp', '4', 0.9992]]
[['new19-19_4.jpg.bmp', '4', 0.9995]]
[['new19-20_4.jpg.bmp', '4', 0.9991]]
[['new19-36_4.jpg.bmp', '4', 0.9996]]
[['new19-40_4.jpg.bmp', '4', 0.9996]]
[['new19-48_4.jpg.bmp', '4', 0.9995]]
[['new19-49_4.jpg.bmp', '4', 0.9995]]
[['new19-50_4.jpg.bmp', '4', 0.9989]]
[['new19-51_4.jpg.bmp', '4', 0.9989]]
[['new19-52_4.jpg.bmp', '4', 0.9993]]
[['new19-58_4.jpg.bmp', '4', 0.9993]]
[['new19-62_4.jpg.bmp', '4', 0.9997]]
[['new19-69_4.jpg.bmp', '4', 0.9996]]
[['new19-6_4.jpg.bmp', '4', 0.9993]]
[['new19-72_4.jpg.bmp', '4', 0.9987]]
[['new19-73_4.jpg.bmp', '4', 0.9984]]
[['new19-9_4.jpg.bmp', '4', 0.9996]]
[['new2-15_11.jpg.bmp', '11', 0.9997]]
[['new2-16_11.jpg.bmp', '11', 1.0]]
[['new2-18_11.jpg.bmp', '11', 0.9998]]
[['new2-25_11.jpg.bmp', '11', 0.9997]]
[['new2-2_11.jpg.bmp', '11', 0.4942]]
[['new2-37_11.jpg.bmp', '11', 0.9999]]
[['new2-3_11.jpg.bmp', '11', 0.744]]
[['new2-45_11.jpg.bmp', '11', 1.0]]
[['new2-60_11.jpg.bmp', '11', 0.9997]]
[['new2-63_11.jpg.bmp', '11', 0.7523]]
[['new2-64_11.jpg.bmp', '11', 0.9999]]
[['new2-65_11.jpg.bmp', '11', 1.0]]
[['new2-70_11.jpg.bmp', '11', 0.5854]]
[['new2-74_11.jpg.bmp', '11', 0.9995]]
[['new20-12_4.jpg.bmp', '4', 0.9995]]
[['new20-15_4.jpg.bmp', '4', 0.9989]]
[['new20-16_4.jpg.bmp', '4', 0.9998]]
[['new20-1_4.jpg.bmp', '4', 0.9994]]
[['new20-25_4.jpg.bmp', '4', 0.9991]]
[['new20-26_4.jpg.bmp', '4', 0.9987]]
[['new20-30_4.jpg.bmp', '4', 0.9992]]
[['new20-32_4.jpg.bmp', '4', 0.9995]]
[['new20-35_4.jpg.bmp', '4', 0.9995]]
[['new20-3_4.jpg.bmp', '4', 0.9995]]
[['new20-43_4.jpg.bmp', '4', 0.9996]]
[['new20-47_4.jpg.bmp', '4', 0.9994]]
[['new20-50_4.jpg.bmp', '4', 0.9994]]
[['new20-53_4.jpg.bmp', '4', 0.9996]]
[['new20-55_4.jpg.bmp', '4', 0.9981]]
[['new20-63_4.jpg.bmp', '4', 0.9995]]
[['new20-67_4.jpg.bmp', '4', 0.9975]]
[['new20-6_4.jpg.bmp', '4', 0.9987]]
[['new20-7_4.jpg.bmp', '4', 0.9989]]
[['new20-8_4.jpg.bmp', '4', 0.9993]]
[['new21-10_4.jpg.bmp', '4', 0.9989]]
[['new21-1_4.jpg.bmp', '4', 0.9986]]
[['new21-25_4.jpg.bmp', '4', 0.9994]]
[['new21-38_4.jpg.bmp', '4', 0.9992]]
[['new21-45_4.jpg.bmp', '4', 0.9988]]
[['new21-47_4.jpg.bmp', '4', 0.9916]]
[['new21-48_4.jpg.bmp', '4', 0.9941]]
[['new21-49_4.jpg.bmp', '4', 0.9913]]
[['new21-51_4.jpg.bmp', '4', 0.9988]]
[['new21-52_4.jpg.bmp', '4', 0.9976]]
[['new21-56_4.jpg.bmp', '4', 0.9995]]
[['new21-61_4.jpg.bmp', '4', 0.9994]]
[['new21-62_4.jpg.bmp', '4', 0.9992]]
[['new21-64_4.jpg.bmp', '4', 0.9965]]
[['new21-6_4.jpg.bmp', '4', 0.9982]]
[['new21-70_4.jpg.bmp', '4', 0.9991]]
[['new21-7_4.jpg.bmp', '4', 0.9992]]
[['new26-20_7.jpg.bmp', '7', 0.9961]]
[['new26-23_7.jpg.bmp', '7', 0.9785]]
[['new26-26_7.jpg.bmp', '7', 0.9967]]
[['new26-31_7.jpg.bmp', '7', 0.9883]]
[['new26-36_7.jpg.bmp', '7', 0.9937]]
[['new26-43_7.jpg.bmp', '7', 0.9305]]
[['new26-52_7.jpg.bmp', '7', 0.9843]]
[['new26-54_7.jpg.bmp', '7', 0.9681]]
[['new26-64_7.jpg.bmp', '7', 0.9276]]
[['new26-68_7.jpg.bmp', '7', 0.9969]]
[['new26-69_7.jpg.bmp', '7', 0.9948]]
[['new26-74_7.jpg.bmp', '7', 0.9865]]
[['new26-8_7.jpg.bmp', '7', 0.9767]]
[['new27-12_8.jpg.bmp', '8', 0.997]]
[['new27-19_8.jpg.bmp', '8', 0.9982]]
[['new27-25_8.jpg.bmp', '8', 0.9901]]
[['new27-26_8.jpg.bmp', '8', 0.9749]]
[['new27-2_8.jpg.bmp', '8', 0.9832]]
[['new27-31_8.jpg.bmp', '8', 0.9887]]
[['new27-34_8.jpg.bmp', '8', 0.998]]
[['new27-42_8.jpg.bmp', '8', 0.9611]]
[['new27-44_8.jpg.bmp', '8', 0.9856]]
[['new27-46_8.jpg.bmp', '8', 0.997]]
[['new27-58_8.jpg.bmp', '8', 0.9973]]
[['new27-61_8.jpg.bmp', '8', 0.966]]
[['new27-62_8.jpg.bmp', '8', 0.6488]]
[['new27-68_8.jpg.bmp', '8', 0.9989]]
[['new27-7_8.jpg.bmp', '8', 0.8565]]
[['new28-13_8.jpg.bmp', '8', 0.9942]]
[['new28-16_8.jpg.bmp', '8', 0.9951]]
[['new28-21_8.jpg.bmp', '8', 0.9955]]
[['new28-28_8.jpg.bmp', '8', 0.9883]]
[['new28-29_8.jpg.bmp', '8', 0.9919]]
[['new28-31_8.jpg.bmp', '8', 0.9953]]
[['new28-32_8.jpg.bmp', '8', 0.9982]]
[['new28-33_8.jpg.bmp', '8', 0.9997]]
[['new28-38_8.jpg.bmp', '8', 0.9964]]
[['new28-51_8.jpg.bmp', '8', 0.993]]
[['new28-63_8.jpg.bmp', '8', 0.9581]]
[['new28-64_8.jpg.bmp', '8', 0.991]]
[['new28-6_8.jpg.bmp', '8', 0.9865]]
[['new28-73_8.jpg.bmp', '8', 0.9919]]
[['new28-74_8.jpg.bmp', '8', 0.9972]]
[['new28-75_8.jpg.bmp', '8', 0.9986]]
[['new29-11_8.jpg.bmp', '8', 0.9988]]
[['new29-22_8.jpg.bmp', '8', 0.9867]]
[['new29-28_8.jpg.bmp', '8', 0.9947]]
[['new29-35_8.jpg.bmp', '8', 0.9316]]
[['new29-42_8.jpg.bmp', '8', 0.9931]]
[['new29-44_8.jpg.bmp', '8', 0.9961]]
[['new29-49_8.jpg.bmp', '8', 0.9876]]
[['new29-4_8.jpg.bmp', '8', 0.9989]]
[['new29-57_8.jpg.bmp', '8', 0.9923]]
[['new29-5_8.jpg.bmp', '8', 0.9602]]
[['new29-62_8.jpg.bmp', '8', 0.9897]]
[['new29-64_8.jpg.bmp', '8', 0.9568]]
[['new29-66_8.jpg.bmp', '8', 0.9943]]
[['new29-70_8.jpg.bmp', '8', 0.9898]]
[['new29-71_8.jpg.bmp', '8', 0.9765]]
[['new29-76_8.jpg.bmp', '8', 0.9957]]
[['new3-18_11.jpg.bmp', '11', 0.9999]]
[['new3-1_11.jpg.bmp', '11', 0.9964]]
[['new3-21_11.jpg.bmp', '11', 0.9971]]
[['new3-22_11.jpg.bmp', '11', 0.998]]
[['new3-24_11.jpg.bmp', '11', 0.9999]]
[['new3-26_11.jpg.bmp', '11', 0.9998]]
[['new3-36_11.jpg.bmp', '11', 0.9958]]
[['new3-46_11.jpg.bmp', '11', 0.9917]]
[['new3-49_11.jpg.bmp', '11', 0.9993]]
[['new3-53_11.jpg.bmp', '11', 0.9979]]
[['new3-54_11.jpg.bmp', '11', 0.9997]]
[['new3-56_11.jpg.bmp', '11', 0.9997]]
[['new3-64_11.jpg.bmp', '11', 0.9951]]
[['new3-67_11.jpg.bmp', '11', 0.9976]]
[['new3-70_11.jpg.bmp', '11', 0.9999]]
